short_name_ENG_i,short_name_ENG_j,f_ij,n_ij
"Polyacetals, in primary f","Cartons, boxes and cases,",4,1
"Polyacetals, in primary f",Argon,4,1
"Polyacetals, in primary f",Crown corks of base metal,3,1
"Polyacetals, in primary f",Nitric acid; sulphonitric,3,1
"Polyacetals, in primary f","Diazo-, azo- or azoxy-com",3,1
"Polyacetals, in primary f","Boards, panels, consoles,",2,1
"Polyacetals, in primary f",Railway or tramway track ,2,1
"Polyacetals, in primary f",Electrical apparatus for ,2,1
"Polyacetals, in primary f",Numerically controlled be,2,1
"Polyacetals, in primary f",Self-adhesive printed lab,2,1
"Polyacetals, in primary f","Folding cartons, boxes an",2,1
"Polyacetals, in primary f",Iron or steel equipment f,2,1
"Polyacetals, in primary f",Treatment and distributio,2,1
"Polyacetals, in primary f","Amino resins, in primary ",2,2
"Polyacetals, in primary f",Sorted non-metal material,2,1
"Polyacetals, in primary f","Polyvinyl chloride, not m",2,3
"Polyacetals, in primary f",Prepared binders for foun,2,1
"Polyacetals, in primary f",Cold-rolled narrow strip ,2,1
"Polyacetals, in primary f",Hot-rolled flat products ,2,1
"Polyacetals, in primary f",Chloromethane (methyl chl,2,1
"Polyacetals, in primary f",Methylamine; di- or trime,2,2
"Polyacetals, in primary f",Hypochlorites; commercial,2,1
"Polyacetals, in primary f",Sodium hydroxide (caustic,2,2
"Polyacetals, in primary f",Iron or steel spring wash,2,1
"Polyacetals, in primary f",Hydrogen chloride (hydroc,2,1
"Polyacetals, in primary f",Screws and bolts for fixi,2,1
"Polyacetals, in primary f","Textile fabrics, impregna",1,1
"Polyacetals, in primary f","Paint brushes, distemperi",1,1
"Polyacetals, in primary f","Expansible polystyrene, i",1,2
"Polyacetals, in primary f","Files, rasps and similar ",1,1
"Polyacetals, in primary f","Polypropylene, in primary",1,3
"Polyacetals, in primary f",Fluorinated; brominated o,1,1
"Polyacetals, in primary f",Iron or steel hot-worked ,1,1
"Polyacetals, in primary f","Washers, rivets, cotters,",1,1
"Polyacetals, in primary f",Articles of cellular rubb,1,1
"Polyacetals, in primary f","Non-cellular plates, shee",1,1
"Polyacetals, in primary f","Flexible tubes, pipes and",1,1
"Polyacetals, in primary f","Aluminium bars, rods and ",1,1
"Polyacetals, in primary f","Slag wool, rock wool and ",1,1
"Polyacetals, in primary f","Flanges, of steel (exclud",1,1
"Polyacetals, in primary f",Numerical control panels ,1,1
Rubber compounded with ca,Turned metal parts for ta,68,1
Rubber compounded with ca,Articles of cellular rubb,67,15
Rubber compounded with ca,Metal parts (excluding tu,47,3
Rubber compounded with ca,Hard rubber or plastic co,27,2
Rubber compounded with ca,Rubber tubing not reinfor,26,7
Rubber compounded with ca,Iron or steel equipment f,26,3
Rubber compounded with ca,Plastic parts for machine,25,2
Rubber compounded with ca,Sub-contracted operations,1,1
Rubber compounded with ca,Moulding boxes for metal ,19,1
Rubber compounded with ca,Bumpers and parts thereof,18,4
Rubber compounded with ca,Repair and maintenance se,1,1
Rubber compounded with ca,"Other plates..., of polym",14,3
Rubber compounded with ca,"Plates, sheet, film, foil",14,3
Rubber compounded with ca,"Boards, panels, consoles,",13,1
Rubber compounded with ca,Safety seat belts,12,1
Rubber compounded with ca,Machines for treating met,12,2
Rubber compounded with ca,Rubber transmission belts,11,3
Rubber compounded with ca,Adhesive tape of rubberis,10,1
Rubber compounded with ca,Sheet metal forming of st,9,1
Rubber compounded with ca,Railway or tramway track ,9,2
Rubber compounded with ca,Parts for air conditionin,8,2
Rubber compounded with ca,Installation of engines a,8,1
Rubber compounded with ca,Ferrite cores of transfor,8,1
Rubber compounded with ca,"Plastic boxes, cases, cra",8,1
Rubber compounded with ca,Plugs and sockets for coa,8,1
Rubber compounded with ca,"Trunking, ducting and cab",8,1
Rubber compounded with ca,Parts of electrical signa,8,1
Rubber compounded with ca,Machinery and apparatus f,4,1
Rubber compounded with ca,Parts for vacuum cleaners,7,1
Rubber compounded with ca,Parts of machinery of HS ,3,1
Rubber compounded with ca,Numerical control panels ,7,2
Rubber compounded with ca,Plastic fittings for furn,7,1
Rubber compounded with ca,Other electric conductors,7,2
Rubber compounded with ca,Adhesives based on natura,6,1
Rubber compounded with ca,"Files, rasps and similar ",6,1
Rubber compounded with ca,Iron or steel hot-worked ,6,1
Rubber compounded with ca,Electrical apparatus for ,6,2
Rubber compounded with ca,Tableware and kitchenware,6,1
Rubber compounded with ca,Parts for machines for as,6,2
Rubber compounded with ca,Bodies for motor cars and,5,1
Rubber compounded with ca,Artificial guts (sausage ,5,1
Rubber compounded with ca,Base stations,5,1
Rubber compounded with ca,Footwear with a wooden ba,5,1
Rubber compounded with ca,Multichip integrated circ,5,1
Rubber compounded with ca,Sports footwear with rubb,5,1
Rubber compounded with ca,Solid or cushion rubber t,5,1
Rubber compounded with ca,New pneumatic rubber tyre,5,2
Rubber compounded with ca,"Waterproof footwear, with",5,1
Rubber compounded with ca,Searchlights and spotligh,5,2
Rubber compounded with ca,"Hydraulic systems, with c",5,1
Rubber compounded with ca,Rectifiers (excluding of ,5,1
Rubber compounded with ca,Parts of gas turbines (ex,5,1
Rubber compounded with ca,"Flexible tubes, pipes and",5,4
Rubber compounded with ca,Iron or steel spring wash,4,1
Rubber compounded with ca,Base metal hinges,4,1
Rubber compounded with ca,Parts of electrical ignit,4,1
Rubber compounded with ca,Hydraulic cylinders,4,1
Rubber compounded with ca,Heat exchange units,4,2
Rubber compounded with ca,Parts for centrifuges and,4,1
Rubber compounded with ca,Parts and accessories of ,4,1
Rubber compounded with ca,Repair services of tarpau,4,1
Rubber compounded with ca,Parts of electrical telep,4,1
Rubber compounded with ca,Test benches,4,2
Rubber compounded with ca,Inductors for discharge l,4,1
Rubber compounded with ca,"Appliance cords, extensio",4,2
Rubber compounded with ca,Parts and accessories for,1,1
Rubber compounded with ca,Machines with translation,4,1
Rubber compounded with ca,"Stranded wire, ropes and ",3,1
Rubber compounded with ca,Endless bands for machine,3,1
Rubber compounded with ca,Secondary raw material of,1,1
Rubber compounded with ca,"Printers, capable of conn",3,2
Rubber compounded with ca,Parts of pumps for liquid,3,2
Rubber compounded with ca,"Aluminium plates, sheets ",3,1
Rubber compounded with ca,Furniture of plastics (ex,3,1
Rubber compounded with ca,"Cases, boxes, crates, dru",3,1
Rubber compounded with ca,"Textile fabrics, impregna",3,2
Rubber compounded with ca,Apparatus based on the us,2,2
Rubber compounded with ca,Electric motors of an out,2,1
Rubber compounded with ca,Pneumatic elevators and c,2,1
Rubber compounded with ca,Electrical or battery ope,2,1
Rubber compounded with ca,"Parts of agricultural, ho",2,2
Rubber compounded with ca,Cylinders for calendering,2,1
Rubber compounded with ca,Parts of bearing housings,2,1
Rubber compounded with ca,"Submersible motor, single",2,2
Rubber compounded with ca,Multiple-walled insulatin,2,1
Rubber compounded with ca,"Silicones, in primary for",2,1
Rubber compounded with ca,Monofilament with any cro,2,2
Rubber compounded with ca,"Flanges, of steel (exclud",2,1
Rubber compounded with ca,"Non-cellular plates, shee",2,2
Rubber compounded with ca,"Spools, cops, bobbins and",2,1
Rubber compounded with ca,Parts for boring or sinki,1,1
Rubber compounded with ca,Containers specially desi,1,1
Rubber compounded with ca,Bakery machinery (excl. o,1,1
Rubber compounded with ca,Woven fabrics of man-made,1,1
Rubber compounded with ca,Tapping tools for working,1,1
Rubber compounded with ca,Passive networks (includi,1,1
Rubber compounded with ca,Telescopic and whip-type ,1,1
Rubber compounded with ca,Screws and bolts for fixi,1,1
Rubber compounded with ca,Reclaimed rubber in prima,1,1
Rubber compounded with ca,"Self-adhesive plates, she",1,1
Rubber compounded with ca,Office machines,1,1
Rubber compounded with ca,Pressure-reducing valves ,1,1
Rubber compounded with ca,Bearing housings incorpor,1,1
Rubber compounded with ca,"Parts for taps, cocks, va",1,1
Rubber compounded with ca,"Balls, needles and roller",1,1
Rubber compounded with ca,Parts of air and vacuum p,1,1
Rubber compounded with ca,Temperature regulators (e,1,2
Rubber compounded with ca,Fire extinguishers,1,1
Rubber compounded with ca,Gaskets and similar joint,1,1
Rubber compounded with ca,Parts suitable for use so,1,1
Rubber compounded with ca,Parts of radar apparatus ,1,1
Vegetable saps and extrac,Sub-contracted operations,1,1
Vegetable saps and extrac,Medicaments of alkaloids ,1,1
"Sacks and bags, with a ba",Household gas tariff (to ,28,1
"Sacks and bags, with a ba",General electric price ta,26,1
"Sacks and bags, with a ba","Cartons, boxes and cases,",22,2
"Sacks and bags, with a ba","Printed books, brochures,",22,3
"Sacks and bags, with a ba",Bookbinding and finishing,21,1
"Sacks and bags, with a ba",Printed calendars of any ,20,3
"Sacks and bags, with a ba",Printing components,19,1
"Sacks and bags, with a ba","Registers, account books,",13,3
"Sacks and bags, with a ba",Sub-contracted operations,1,1
"Sacks and bags, with a ba",Printed commercial catalo,11,2
"Sacks and bags, with a ba",Other packaging container,11,4
"Sacks and bags, with a ba",Other graphic services,10,2
"Sacks and bags, with a ba",Sacks and bags of polymer,10,1
"Sacks and bags, with a ba","Men’s or boys’ raincoats,",9,2
"Sacks and bags, with a ba",Women’s or girls’ trouser,5,1
"Sacks and bags, with a ba",Brooms and brushes of twi,9,1
"Sacks and bags, with a ba","Printed newspapers, journ",8,1
"Sacks and bags, with a ba",Printing onto textiles,8,2
"Sacks and bags, with a ba",Wooden bedroom furniture ,8,1
"Sacks and bags, with a ba",Woman’s or girls’ raincoa,8,2
"Sacks and bags, with a ba",Men’s or boys’ trousers a,6,1
"Sacks and bags, with a ba","T-shirts, singlets and ve",7,1
"Sacks and bags, with a ba",Women’s or girls’ blouses,6,1
"Sacks and bags, with a ba",Woven carpets and other w,7,1
"Sacks and bags, with a ba","Men’s or boys’ ensembles,",7,2
"Sacks and bags, with a ba",Women’s or girls’ jackets,3,1
"Sacks and bags, with a ba",Adhesives based on natura,6,1
"Sacks and bags, with a ba",Wooden furniture of a kin,6,2
"Sacks and bags, with a ba",Women’s or girls’ dresses,6,2
"Sacks and bags, with a ba",Men’s or boys’ other garm,6,2
"Sacks and bags, with a ba",Men’s or boys’ jackets an,5,1
"Sacks and bags, with a ba",Printing services for lab,6,1
"Sacks and bags, with a ba","Folding cartons, boxes an",6,3
"Sacks and bags, with a ba",Flat pallets and pallet c,6,2
"Sacks and bags, with a ba","Shawls, scarves, mufflers",5,2
"Sacks and bags, with a ba","Men's or boys' shirts, kn",5,1
"Sacks and bags, with a ba",Seats convertible into be,5,2
"Sacks and bags, with a ba","Flexible tubes, pipes and",5,1
"Sacks and bags, with a ba",Wooden frames for paintin,5,1
"Sacks and bags, with a ba","Men’s or boys’ jerseys, p",4,1
"Sacks and bags, with a ba",Felt hats and other felt ,4,1
"Sacks and bags, with a ba","Trunks, suitcases, vanity",4,2
"Sacks and bags, with a ba",Other men’s or boys’ appa,4,1
"Sacks and bags, with a ba",Other wooden furniture (e,4,1
"Sacks and bags, with a ba",Men’s or boys’ shirts (ex,4,1
"Sacks and bags, with a ba",Toilet paper,4,1
"Sacks and bags, with a ba",Secondary raw material of,4,1
"Sacks and bags, with a ba",Table linen of knitted or,4,1
"Sacks and bags, with a ba",Kitchen furniture,3,2
"Sacks and bags, with a ba",Wooden furniture for shop,3,1
"Sacks and bags, with a ba",Swivel seats with variabl,3,1
"Sacks and bags, with a ba",Mattress supports (includ,3,2
"Sacks and bags, with a ba",Hand-woven tapestries of ,3,2
"Sacks and bags, with a ba",Plastic sacks and bags (i,3,1
"Sacks and bags, with a ba",Monofilament with any cro,3,1
"Sacks and bags, with a ba",Builders’ joinery and car,3,1
"Sacks and bags, with a ba",Sleeping bags,2,2
"Sacks and bags, with a ba",Embroidery (without visib,2,1
"Sacks and bags, with a ba","Track-suits, of knitted o",2,1
"Sacks and bags, with a ba","Windows, french windows a",2,1
"Sacks and bags, with a ba",Finishing services of new,2,1
"Sacks and bags, with a ba",Self-adhesive printed lab,2,2
"Sacks and bags, with a ba",Envelopes of paper or pap,2,2
"Sacks and bags, with a ba",Metal furniture (excludin,2,1
"Sacks and bags, with a ba","Men’s or boys’ overcoats,",2,1
"Sacks and bags, with a ba",Women’s or girls’ overcoa,2,1
"Sacks and bags, with a ba","Frames and forks, for bic",2,1
"Sacks and bags, with a ba",Sanitary towels and tampo,2,1
"Sacks and bags, with a ba",Upholstering services of ,2,1
"Sacks and bags, with a ba",Tableware and kitchenware,2,1
"Sacks and bags, with a ba",Articles of leather or co,1,1
"Sacks and bags, with a ba","Gloves, mittens and mitts",1,1
"Sacks and bags, with a ba",Babies’ garments and clot,1,1
"Sacks and bags, with a ba","Watch straps, bands, brac",1,1
"Sacks and bags, with a ba",Textile hosepiping and si,1,1
"Sacks and bags, with a ba","Sacks and bags, of cotton",1,1
"Sacks and bags, with a ba",Blankets and travelling r,1,1
"Sacks and bags, with a ba",Toilet linen and kitchen ,1,1
"Sacks and bags, with a ba",Mattresses of cellular ru,1,1
"Sacks and bags, with a ba","Leather sports gloves, mi",1,1
"Sacks and bags, with a ba",Games and toys n.e.c.,1,1
"Sacks and bags, with a ba",Hard rubber or plastic co,1,1
"Sacks and bags, with a ba","Plates, sheet, film, foil",1,1
"Sacks and bags, with a ba","Cases, boxes, crates, dru",1,1
"Sacks and bags, with a ba",Parts for air conditionin,1,1
Whey and modified whey in,Unripened or uncured chee,33,10
Whey and modified whey in,Butter of a fat content b,30,7
Whey and modified whey in,Milk and cream of a fat c,20,5
Whey and modified whey in,"Curdled milk, cream, yogu",25,6
Whey and modified whey in,"Waters, with added sugar,",21,3
Whey and modified whey in,Products consisting of na,14,3
Whey and modified whey in,"Filled chocolate blocks, ",12,1
Whey and modified whey in,Skimmed milk powder (milk,9,2
Whey and modified whey in,Condensed or evaporated m,7,1
Whey and modified whey in,Casein and caseinates,7,1
Apparatus based on the us,Metal parts (excluding tu,31,2
Apparatus based on the us,Wet painting and varnishi,18,1
Apparatus based on the us,Hard rubber or plastic co,14,1
Apparatus based on the us,Plastic parts for machine,13,1
Apparatus based on the us,Parts of electrical signa,10,2
Apparatus based on the us,Measuring transformers ha,8,1
Apparatus based on the us,"Plastic boxes, cases, cra",8,1
Apparatus based on the us,Inductors for discharge l,7,1
Apparatus based on the us,"Plates, sheet, film, foil",6,1
Apparatus based on the us,"Syringes, with or without",6,1
Apparatus based on the us,Bumpers and parts thereof,6,3
Apparatus based on the us,Sub-contracted operations,1,1
Apparatus based on the us,Parts and accessories for,1,1
Apparatus based on the us,Machines for treating met,5,2
Apparatus based on the us,Searchlights and spotligh,5,1
Apparatus based on the us,Parts for vacuum cleaners,5,1
Apparatus based on the us,Tableware and kitchenware,5,1
Apparatus based on the us,Articles of cellular rubb,4,1
Apparatus based on the us,Railway or tramway track ,4,2
Apparatus based on the us,"Flexible tubes, pipes and",4,1
Apparatus based on the us,Parts for air conditionin,4,2
Apparatus based on the us,Parts and accessories of ,1,1
Apparatus based on the us,Ferrite cores of transfor,4,2
Apparatus based on the us,"Appliance cords, extensio",4,1
Apparatus based on the us,Parts of machines and app,4,1
Apparatus based on the us,Electrical apparatus for ,4,1
Apparatus based on the us,Parts of radar apparatus ,3,1
Apparatus based on the us,Test benches,3,1
Apparatus based on the us,Telescopic and whip-type ,3,1
Apparatus based on the us,Armoured or reinforced sa,3,1
Apparatus based on the us,Tapping tools for working,3,1
Apparatus based on the us,Electric soldering irons ,3,2
Apparatus based on the us,Parts suitable for use so,3,1
Apparatus based on the us,Safety seat belts,3,1
Apparatus based on the us,Gymnasium or athletics ar,3,1
Apparatus based on the us,Furniture of plastics (ex,3,1
Apparatus based on the us,Parts of electrical ignit,3,1
Apparatus based on the us,Insulated ignition wiring,3,1
Apparatus based on the us,Parts of printing and boo,3,1
Apparatus based on the us,Rubber compounded with ca,3,2
Apparatus based on the us,Numerical control panels ,2,1
Apparatus based on the us,Electro-cardiographs,2,1
Apparatus based on the us,Parts for machines for as,2,2
Apparatus based on the us,Parts of poultry-keeping ,2,1
Apparatus based on the us,Parts of pumps for liquid,2,2
Apparatus based on the us,"Submersible motor, single",2,1
Apparatus based on the us,Rubber tubing not reinfor,2,1
Apparatus based on the us,"Silicones, in primary for",2,1
Apparatus based on the us,Monofilament with any cro,2,1
Apparatus based on the us,"Other plates..., of polym",2,1
Apparatus based on the us,"Non-cellular plates, shee",1,1
Apparatus based on the us,Machinery and apparatus f,1,1
Apparatus based on the us,Parts of machinery and ap,1,2
Apparatus based on the us,Cylinders for calendering,1,1
Apparatus based on the us,Other electric conductors,1,1
Apparatus based on the us,"Boards, panels, consoles,",1,1
Apparatus based on the us,Instruments for measuring,1,1
Apparatus based on the us,Flashlights (including  p,1,1
Fluorides; fluorosilicate,Acyclic ethers and their ,10,1
Fluorides; fluorosilicate,Nitric acid; sulphonitric,9,1
